SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
INDEPENDENT,2009-10,First-Time Entrants,Total,"First-Time, Total",54315,0.00%,0.59%,0.76%,0.04%,0.01%,0.01%,55.56%,65.70%,68.31%,1.00%,5.58%,0.33%,23.73%
INDEPENDENT,2010-11,First-Time Entrants,Total,"First-Time, Total",55917,0.00%,0.04%,0.10%,0.03%,0.01%,0.00%,55.64%,65.67%,68.19%,1.22%,5.83%,0.55%,24.44%
INDEPENDENT,2011-12,First-Time Entrants,Total,"First-Time, Total",55267,0.00%,0.05%,0.17%,0.01%,0.01%,0.01%,56.18%,66.33%,69.09%,1.04%,6.82%,0.23%,22.79%
INDEPENDENT,2012-13,First-Time Entrants,Total,"First-Time, Total",56850,0.00%,0.06%,0.10%,0.14%,0.01%,0.01%,55.71%,65.74%,68.21%,0.95%,6.93%,0.26%,23.57%
INDEPENDENT,2013-14,First-Time Entrants,Total,"First-Time, Total",50210,0.00%,0.02%,0.06%,0.02%,0.01%,0.00%,56.79%,66.87%,68.88%,0.96%,9.18%,0.36%,20.06%
INDEPENDENT,2014-15,First-Time Entrants,Total,"First-Time, Total",55918,0.04%,0.03%,0.05%,0.02%,0.03%,0.01%,56.53%,66.78%,69.31%,0.94%,9.71%,0.35%,19.79%
INDEPENDENT,2015-16,First-Time Entrants,Total,"First-Time, Total",51576,0.05%,0.06%,0.12%,0.06%,0.01%,0.01%,57.63%,67.63%,69.79%,0.92%,13.72%,0.26%,16.13%
INDEPENDENT,2016-17,First-Time Entrants,Total,"First-Time, Total",56763,0.00%,0.05%,0.10%,0.02%,0.01%,0.00%,58.22%,67.61%,70.33%,0.85%,12.52%,0.15%,15.77%
INDEPENDENT,2017-18,First-Time Entrants,Total,"First-Time, Total",51746,0.00%,0.08%,0.12%,0.02%,0.01%,0.01%,60.20%,69.60%,71.81%,0.73%,13.65%,0.17%,13.61%
INDEPENDENT,2018-19,First-Time Entrants,Total,"First-Time, Total",49119,0.00%,0.05%,0.09%,0.02%,0.01%,0.00%,61.82%,71.23%,73.67%,0.69%,10.57%,0.19%,14.91%
PROPRIETARY,2008-09,First-Time Entrants,Total,"First-Time, Total",1833,0.00%,0.60%,0.87%,0.16%,0.00%,0.05%,42.63%,48.64%,50.66%,2.02%,9.82%,0.05%,36.39%
PROPRIETARY,2009-10,First-Time Entrants,Total,"First-Time, Total",1831,0.00%,1.09%,1.58%,0.16%,0.05%,0.11%,44.40%,51.72%,53.03%,3.11%,7.70%,0.00%,34.24%
PROPRIETARY,2010-11,First-Time Entrants,Total,"First-Time, Total",2549,0.00%,0.98%,1.14%,0.08%,0.12%,0.04%,36.68%,42.37%,44.76%,2.51%,6.71%,0.00%,44.64%
PROPRIETARY,2011-12,First-Time Entrants,Total,"First-Time, Total",2296,0.00%,0.44%,0.87%,0.09%,0.04%,0.00%,42.68%,47.95%,50.30%,1.35%,9.23%,0.00%,38.11%
PROPRIETARY,2012-13,First-Time Entrants,Total,"First-Time, Total",2236,0.00%,0.49%,0.85%,0.04%,0.04%,0.09%,41.70%,47.80%,50.18%,1.39%,6.62%,0.27%,40.65%
PROPRIETARY,2013-14,First-Time Entrants,Total,"First-Time, Total",2381,0.00%,0.29%,0.50%,0.25%,0.13%,0.17%,40.91%,46.37%,48.97%,1.13%,8.15%,0.00%,40.70%
PROPRIETARY,2014-15,First-Time Entrants,Total,"First-Time, Total",2596,0.00%,2.89%,4.24%,0.27%,0.19%,0.08%,38.25%,44.22%,46.80%,0.96%,6.36%,0.00%,41.10%
PROPRIETARY,2015-16,First-Time Entrants,Total,"First-Time, Total",2772,0.00%,0.83%,1.33%,0.29%,0.14%,0.07%,37.12%,43.90%,45.85%,1.55%,7.94%,0.00%,42.82%
PROPRIETARY,2016-17,First-Time Entrants,Total,"First-Time, Total",2313,0.00%,1.17%,1.64%,0.04%,0.26%,0.22%,41.98%,48.16%,50.50%,1.38%,18.55%,0.00%,27.41%
PROPRIETARY,2017-18,First-Time Entrants,Total,"First-Time, Total",1674,0.00%,0.54%,0.96%,0.24%,0.06%,0.18%,49.82%,56.52%,58.67%,0.90%,20.31%,0.12%,18.64%
PROPRIETARY,2018-19,First-Time Entrants,Total,"First-Time, Total",1883,0.00%,1.97%,2.55%,0.27%,0.11%,0.05%,46.39%,53.56%,55.53%,1.12%,16.78%,0.05%,23.58%
