DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,ELA # Tested,ELA # Proficient (L3&4),ELA % Proficient (L3&4),Math # Tested,Math # Proficient (L3&4),Math % Proficient (L3&4),2017-18 Total 4-year August Grad Cohort,2017-18 % 4-year August Graduates,2017-18 Total 6-year Grad Cohort,2017-18 % 6-year Graduates
02M198,2,P.S. 198 Isador E. Ida Straus,false,M198,false,488,488,0,0,0.227,0.105,0.213,0.043,0.412,0.213,0.059,0.404,190,132,69.5%,194,138,71.1%,No Data,No Data,No Data,No Data
02M212,2,P.S. 212 Midtown West,false,M017,false,363,363,0,0,0.165,0.069,0.234,0.069,0.463,0.11,0.022,0.204,141,110,78.0%,142,107,75.4%,No Data,No Data,No Data,No Data
02M225,2,Ella Baker School,false,M480,false,324,258,66,0,0.059,0.151,0.306,0.093,0.392,0.188,0.015,0.281,87,67,77.0%,87,51,58.6%,No Data,No Data,No Data,No Data
02M255,2,M.S. 255 Salk School of Science,false,M040,false,394,0,394,0,0.183,0.02,0.096,0.081,0.619,0.157,0.003,0.142,386,363,94.0%,381,351,92.1%,No Data,No Data,No Data,No Data
02M276,2,Battery Park City School,false,M276,false,849,567,282,0,0.203,0.04,0.137,0.094,0.527,0.184,0.032,0.151,514,398,77.4%,443,366,82.6%,No Data,No Data,No Data,No Data
02M280,2,Manhattan Early College School for Advertising,false,M520,false,416,0,0,416,0.099,0.361,0.45,0.038,0.053,0.192,0.038,0.731,No Data,No Data,No Data,No Data,No Data,No Data,84,96.4%,No Data,No Data
02M281,2,The River School,false,M281,false,338,338,0,0,0.325,0.092,0.124,0.047,0.411,0.157,0.175,0.302,87,71,81.6%,92,79,85.9%,No Data,No Data,No Data,No Data
02M282,2,Urban Assembly Maker Academy,false,M520,false,390,0,0,390,0.082,0.274,0.492,0.044,0.108,0.195,0.038,0.777,No Data,No Data,No Data,No Data,No Data,No Data,93,90.3%,No Data,No Data
02M288,2,Food and Finance High School,false,M535,false,375,0,0,375,0.056,0.347,0.531,0.04,0.027,0.2,0.032,0.827,No Data,No Data,No Data,No Data,No Data,No Data,84,84.5%,92,93.5%
02M289,2,I.S. 289,false,M089,false,284,0,284,0,0.486,0.042,0.148,0.028,0.296,0.229,0.049,0.528,259,193,74.5%,259,186,71.8%,No Data,No Data,No Data,No Data
02M294,2,Essex Street Academy,false,M445,false,339,0,0,339,0.065,0.345,0.428,0.062,0.1,0.268,0.035,0.676,No Data,No Data,No Data,No Data,No Data,No Data,85,88.2%,87,88.5%
02M296,2,High School of Hospitality Management,false,M535,false,380,0,0,380,0.05,0.276,0.621,0.034,0.018,0.258,0.092,0.9,No Data,No Data,No Data,No Data,No Data,No Data,81,81.5%,99,85.9%
02M297,2,M.S. 297,false,M323,false,561,0,561,0,0.086,0.094,0.23,0.046,0.544,0.216,0.034,0.273,522,342,65.5%,527,320,60.7%,No Data,No Data,No Data,No Data
02M298,2,Pace High School,false,M131,false,572,0,0,572,0.045,0.334,0.542,0.04,0.038,0.184,0.03,0.78,No Data,No Data,No Data,No Data,No Data,No Data,110,89.1%,108,97.2%
02M300,2,"Urban Assembly School of Design and Construction, The",false,M535,false,302,0,0,302,0.056,0.228,0.679,0.01,0.026,0.258,0.116,0.798,No Data,No Data,No Data,No Data,No Data,No Data,86,72.1%,77,84.4%
02M303,2,"Facing History School, The",false,M535,false,372,0,0,372,0.011,0.255,0.699,0.013,0.022,0.247,0.11,0.79,No Data,No Data,No Data,No Data,No Data,No Data,106,72.6%,90,71.1%
02M305,2,"Urban Assembly Academy of Government and Law, The",false,M445,false,324,0,0,324,0.059,0.336,0.565,0.009,0.031,0.198,0.04,0.827,No Data,No Data,No Data,No Data,No Data,No Data,59,81.4%,70,85.7%
02M308,2,Lower Manhattan Arts Academy,false,M445,false,290,0,0,290,0.086,0.276,0.559,0.052,0.028,0.366,0.069,0.752,No Data,No Data,No Data,No Data,No Data,No Data,78,83.3%,76,86.8%
02M312,2,New York City Lab Middle School for Collaborative Studies,false,M070,false,563,0,563,0,0.639,0.012,0.053,0.062,0.233,0.146,0.016,0.345,542,497,91.7%,415,384,92.5%,No Data,No Data,No Data,No Data
02M313,2,"James Baldwin School, The: A School for Expeditionary Learning",false,M440,true,245,0,0,245,0.024,0.4,0.522,0.008,0.045,0.322,0.086,0.808,No Data,No Data,No Data,No Data,No Data,No Data,127,33.9%,106,57.5%
02M316,2,"Urban Assembly School of Business for Young Women, the",false,M282,false,179,0,0,179,0.05,0.492,0.369,0.056,0.034,0.168,0.073,0.844,No Data,No Data,No Data,No Data,No Data,No Data,63,69.8%,84,84.5%
02M340,2,Sixth Avenue Elementary School,false,M340,false,339,339,0,0,0.086,0.024,0.115,0.147,0.628,0.189,0.012,0.08,77,57,74.0%,77,57,74.0%,No Data,No Data,No Data,No Data
02M343,2,The Peck Slip School,false,M343,false,468,468,0,0,0.158,0.041,0.128,0.141,0.532,0.182,0.017,0.128,171,138,80.7%,172,127,73.8%,No Data,No Data,No Data,No Data
02M347,2,The 47 American Sign Language & English Lower School,false,M047,false,193,146,47,0,0.036,0.212,0.44,0.052,0.259,0.508,0.197,0.679,50,32,64.0%,43,22,51.2%,No Data,No Data,No Data,No Data
02M374,2,Gramercy Arts High School,false,M460,false,468,0,0,468,0.043,0.335,0.496,0.062,0.064,0.169,0.021,0.791,No Data,No Data,No Data,No Data,No Data,No Data,113,80.5%,98,87.8%
02M376,2,NYC iSchool,false,M615,false,466,0,0,466,0.084,0.148,0.212,0.099,0.457,0.161,0.011,0.341,No Data,No Data,No Data,No Data,No Data,No Data,112,99.1%,105,100.0%
02M391,2,District 2 Pre-K Center,true,"M281, M340, M343, M391, M453, M474, M491, M860",false,465,465,0,0,0.219,0.054,0.114,0.108,0.505,0.082,0,0.092,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M392,2,MANHATTAN BUSINESS ACADEMY,false,M440,false,414,0,0,414,0.063,0.222,0.65,0.017,0.048,0.21,0.063,0.87,No Data,No Data,No Data,No Data,No Data,No Data,96,86.5%,94,91.5%
02M393,2,Business Of Sports School,false,M625,false,429,0,0,429,0.012,0.329,0.613,0.016,0.03,0.24,0.082,0.725,No Data,No Data,No Data,No Data,No Data,No Data,91,80.2%,87,85.1%
02M394,2,Emma Lazarus High School,false,M131,true,315,0,0,315,0.403,0.175,0.308,0.025,0.089,0,0.81,0.933,No Data,No Data,No Data,No Data,No Data,No Data,99,61.6%,58,79.3%
02M397,2,Spruce Street School,false,M971,false,560,376,184,0,0.164,0.039,0.159,0.105,0.532,0.204,0.023,0.17,311,248,79.7%,240,200,83.3%,No Data,No Data,No Data,No Data
02M399,2,The High School For Language And Diplomacy,false,M460,false,302,0,0,302,0.242,0.232,0.457,0.03,0.04,0.175,0.109,0.755,No Data,No Data,No Data,No Data,No Data,No Data,119,83.2%,95,90.5%
02M400,2,High School for Environmental Studies,false,M834,false,1146,0,0,1146,0.109,0.157,0.641,0.027,0.065,0.189,0.087,0.82,No Data,No Data,No Data,No Data,No Data,No Data,294,83.3%,297,89.6%
02M407,2,Institute for Collaborative Education,false,M475,false,486,0,209,277,0.07,0.222,0.191,0.041,0.475,0.165,0.004,0.274,22,17,77.3%,20,16,80.0%,69,97.1%,71,97.2%
02M408,2,Professional Performing Arts High School,false,M017,false,558,0,123,435,0.07,0.208,0.204,0.066,0.452,0.142,0.002,0.349,79,63,79.7%,59,44,74.6%,124,93.5%,113,99.1%
02M412,2,N.Y.C. Lab School for Collaborative Studies,false,M070,false,471,0,0,471,0.187,0.036,0.123,0.089,0.565,0.2,0.006,0.261,No Data,No Data,No Data,No Data,No Data,No Data,124,100.0%,132,99.2%
02M413,2,School of the Future High School,false,M660,false,749,0,304,445,0.2,0.112,0.242,0.099,0.347,0.212,0.007,0.435,258,177,68.6%,227,128,56.4%,101,97.0%,94,95.7%
02M414,2,N.Y.C. Museum School,false,M070,false,449,0,0,449,0.241,0.129,0.356,0.06,0.214,0.203,0.009,0.561,No Data,No Data,No Data,No Data,No Data,No Data,114,98.2%,118,100.0%
02M419,2,Landmark High School,false,M440,false,330,0,0,330,0.03,0.333,0.591,0.021,0.024,0.221,0.055,0.8,No Data,No Data,No Data,No Data,No Data,No Data,67,76.1%,82,68.3%
02M420,2,High School for Health Professions and Human Services,false,M475,false,1825,0,0,1825,0.216,0.157,0.527,0.022,0.077,0.133,0.042,0.695,No Data,No Data,No Data,No Data,No Data,No Data,403,90.8%,372,93.3%
02M422,2,Quest to Learn,false,M440,false,545,0,167,378,0.13,0.217,0.431,0.037,0.185,0.279,0.039,0.721,137,62,45.3%,129,32,24.8%,79,79.7%,74,82.4%
02M427,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,false,M620,false,233,0,0,233,0.009,0.021,0.948,0,0.021,0.12,0.674,0.979,No Data,No Data,No Data,No Data,No Data,No Data,67,77.6%,62,67.7%
02M432,2,Murray Hill Academy,false,M620,true,304,0,0,304,0.059,0.306,0.53,0.039,0.066,0.247,0.039,0.862,No Data,No Data,No Data,No Data,No Data,No Data,67,68.7%,80,78.8%
02M437,2,Hudson High School of Learning Technologies,false,M440,false,476,0,0,476,0.063,0.252,0.63,0.025,0.029,0.256,0.088,0.803,No Data,No Data,No Data,No Data,No Data,No Data,109,69.7%,125,88.8%
02M438,2,International High School at Union Square,false,M460,false,356,0,0,356,0.157,0.197,0.539,0.006,0.101,0.028,0.862,0.86,No Data,No Data,No Data,No Data,No Data,No Data,69,72.5%,88,77.3%
02M449,2,Vanguard High School,false,M480,false,427,0,0,427,0.056,0.251,0.583,0.042,0.068,0.248,0.03,0.726,No Data,No Data,No Data,No Data,No Data,No Data,122,79.5%,96,80.2%
02M459,2,Manhattan International High School,false,M480,false,313,0,0,313,0.144,0.15,0.508,0.003,0.195,0.016,0.716,0.706,No Data,No Data,No Data,No Data,No Data,No Data,73,76.7%,81,82.7%
02M475,2,Stuyvesant High School,false,M477,false,3316,0,0,3316,0.731,0.009,0.03,0.041,0.188,0.005,0,0.417,No Data,No Data,No Data,No Data,No Data,No Data,823,98.7%,800,99.4%
02M500,2,Unity Center for Urban Technologies,false,M620,false,278,0,0,278,0.083,0.252,0.604,0.014,0.047,0.241,0.068,0.914,No Data,No Data,No Data,No Data,No Data,No Data,66,90.9%,76,86.8%
02M507,2,Urban Assembly Gateway School for Technology,false,M625,false,456,0,0,456,0.07,0.285,0.537,0.048,0.059,0.217,0.035,0.572,No Data,No Data,No Data,No Data,No Data,No Data,100,93.0%,119,92.4%
02M519,2,Talent Unlimited High School,false,M480,false,518,0,0,518,0.035,0.293,0.432,0.118,0.122,0.154,0.01,0.56,No Data,No Data,No Data,No Data,No Data,No Data,115,98.3%,126,100.0%
02M520,2,Murry Bergtraum High School for Business Careers,false,M520,false,182,0,0,182,0.044,0.505,0.401,0.033,0.016,0.236,0.06,0.769,No Data,No Data,No Data,No Data,No Data,No Data,79,73.4%,211,65.9%
02M533,2,Union Square Academy for Health Sciences,false,M460,false,414,0,0,414,0.118,0.2,0.597,0.024,0.06,0.155,0.075,0.831,No Data,No Data,No Data,No Data,No Data,No Data,90,84.4%,93,96.8%
02M542,2,Manhattan Bridges High School,false,M535,false,532,0,0,532,0.002,0.004,0.989,0.004,0.002,0.073,0.464,0.87,No Data,No Data,No Data,No Data,No Data,No Data,122,96.7%,120,95.8%
02M543,2,New Design High School,false,M445,false,426,0,0,426,0.052,0.34,0.575,0.016,0.016,0.258,0.054,0.775,No Data,No Data,No Data,No Data,No Data,No Data,95,84.2%,94,85.1%
02M544,2,Independence High School,false,M834,true,319,0,0,319,0.013,0.295,0.627,0.009,0.056,0.257,0.075,0.868,No Data,No Data,No Data,No Data,No Data,No Data,126,12.7%,169,43.8%
02M545,2,High School for Dual Language and Asian Studies,false,M445,false,402,0,0,402,0.91,0.022,0.035,0.01,0.022,0.032,0.134,0.886,No Data,No Data,No Data,No Data,No Data,No Data,99,99.0%,114,99.1%
02M546,2,Academy for Software Engineering,false,M460,false,459,0,0,459,0.096,0.203,0.558,0.039,0.105,0.253,0.041,0.673,No Data,No Data,No Data,No Data,No Data,No Data,113,86.7%,119,98.3%
02M560,2,High School M560 - City As School,false,M641,true,602,0,0,602,0.042,0.349,0.442,0.02,0.148,0.233,0.037,0.661,No Data,No Data,No Data,No Data,No Data,No Data,226,42.9%,293,62.8%
02M565,2,Urban Academy Laboratory High School,false,M480,true,147,0,0,147,0.061,0.34,0.32,0.027,0.252,0.143,0.007,0.585,No Data,No Data,No Data,No Data,No Data,No Data,54,46.3%,30,76.7%
02M580,2,Richard R. Green High School of Teaching,false,M282,false,429,0,0,429,0.063,0.273,0.576,0.056,0.033,0.191,0.042,0.821,No Data,No Data,No Data,No Data,No Data,No Data,117,75.2%,108,74.1%
02M586,2,Harvey Milk High School,false,M807,true,63,0,0,63,0.016,0.206,0.651,0,0.127,0.365,0.032,0.873,No Data,No Data,No Data,No Data,No Data,No Data,36,22.2%,33,48.5%
02M605,2,Humanities Preparatory Academy,false,M440,true,245,0,0,245,0.061,0.216,0.62,0.029,0.073,0.204,0.033,0.796,No Data,No Data,No Data,No Data,No Data,No Data,55,89.1%,44,81.8%
02M615,2,Chelsea Career and Technical Education High School,false,M615,false,451,0,0,451,0.135,0.204,0.608,0.018,0.035,0.206,0.04,0.78,No Data,No Data,No Data,No Data,No Data,No Data,94,80.9%,92,90.2%
02M630,2,Art and Design High School,false,M488,false,1478,0,0,1478,0.085,0.148,0.539,0.055,0.173,0.212,0.008,0.555,No Data,No Data,No Data,No Data,No Data,No Data,366,88.5%,353,89.8%
02M896,2,Lower Manhattan Community Middle School,false,M282,false,385,0,385,0,0.431,0.101,0.158,0.039,0.27,0.283,0.06,0.545,347,248,71.5%,348,230,66.1%,No Data,No Data,No Data,No Data
03M009,3,P.S. 009 Sarah Anderson,false,M009,false,611,611,0,0,0.085,0.047,0.182,0.093,0.592,0.182,0.023,0.221,290,232,80.0%,294,241,82.0%,No Data,No Data,No Data,No Data
03M075,3,P.S. 075 Emily Dickinson,false,M075,false,548,548,0,0,0.026,0.217,0.553,0.035,0.17,0.4,0.153,0.701,243,122,50.2%,241,131,54.4%,No Data,No Data,No Data,No Data
03M076,3,P.S. 076 A. Philip Randolph,false,M076,false,443,274,169,0,0.002,0.734,0.23,0.007,0.027,0.239,0.077,0.953,236,70,29.7%,221,27,12.2%,No Data,No Data,No Data,No Data
03M145,3,"P.S. 145, The Bloomingdale School",false,M145,false,400,400,0,0,0.01,0.248,0.572,0.018,0.153,0.273,0.112,0.762,143,28,19.6%,144,28,19.4%,No Data,No Data,No Data,No Data
03M149,3,P.S. 149 Sojourner Truth,false,M149,false,235,148,87,0,0.038,0.591,0.302,0.021,0.047,0.238,0.17,0.983,145,38,26.2%,146,31,21.2%,No Data,No Data,No Data,No Data
03M165,3,P.S. 165 Robert E. Simon,false,M165,false,426,426,0,0,0.038,0.136,0.582,0.014,0.23,0.171,0.11,0.66,193,97,50.3%,198,111,56.1%,No Data,No Data,No Data,No Data
03M185,3,P.S. 185 - The Early Childhood Discovery and Design Magnet School,false,M208,false,364,364,0,0,0.022,0.541,0.324,0.025,0.088,0.22,0.052,0.827,126,33,26.2%,128,24,18.8%,No Data,No Data,No Data,No Data
03M241,3,STEM Institute of Manhattan,false,M113,false,133,133,0,0,0.038,0.496,0.361,0.008,0.098,0.331,0.15,0.917,70,15,21.4%,71,15,21.1%,No Data,No Data,No Data,No Data
03M242,3,P.S. 242 - The Young Diplomats Magnet Academy,false,M144,false,138,138,0,0,0,0.609,0.333,0.043,0.014,0.319,0.072,0.804,47,7,14.9%,48,6,12.5%,No Data,No Data,No Data,No Data
03M243,3,M.S. 243 Center School,false,M009,false,241,63,178,0,0.05,0.104,0.183,0.095,0.568,0.174,0,0.137,222,203,91.4%,174,149,85.6%,No Data,No Data,No Data,No Data
03M245,3,M.S. M245 The Computer School,false,M044,false,403,0,403,0,0.077,0.127,0.288,0.062,0.447,0.208,0.017,0.285,369,301,81.6%,289,209,72.3%,No Data,No Data,No Data,No Data
03M247,3,M.S. M247 Dual Language Middle School,false,M044,false,220,0,220,0,0.009,0.014,0.955,0,0.023,0.273,0.25,0.895,178,83,46.6%,184,87,47.3%,No Data,No Data,No Data,No Data
03M250,3,M.S. 250 West Side Collaborative Middle School,false,M075,false,162,0,162,0,0.006,0.37,0.494,0.049,0.08,0.296,0.068,0.698,143,33,23.1%,141,24,17.0%,No Data,No Data,No Data,No Data
03M256,3,Lafayette Academy,false,M118,false,153,0,153,0,0.007,0.484,0.353,0.033,0.124,0.203,0.124,0.725,135,74,54.8%,137,68,49.6%,No Data,No Data,No Data,No Data
03M258,3,Community Action School - MS 258,false,M118,false,239,0,239,0,0.025,0.351,0.536,0.008,0.079,0.251,0.046,0.828,203,82,40.4%,133,46,34.6%,No Data,No Data,No Data,No Data
03M299,3,The Maxine Greene HS for Imaginative Inquiry,false,M490,false,341,0,0,341,0.032,0.367,0.531,0.029,0.041,0.252,0.129,0.795,No Data,No Data,No Data,No Data,No Data,No Data,91,65.9%,94,73.4%
03M307,3,"Urban Assembly School for Media Studies, The",false,M490,false,407,0,0,407,0.025,0.322,0.607,0.027,0.02,0.155,0.054,0.87,No Data,No Data,No Data,No Data,No Data,No Data,106,76.4%,88,79.5%
03M333,3,P.S. 333 Manhattan School for Children,false,M118,false,757,566,191,0,0.065,0.131,0.16,0.065,0.58,0.205,0.021,0.172,421,312,74.1%,372,266,71.5%,No Data,No Data,No Data,No Data
03M334,3,The Anderson School,false,M044,false,522,333,189,0,0.291,0.025,0.09,0.113,0.481,0.08,0.002,0.149,329,319,97.0%,270,267,98.9%,No Data,No Data,No Data,No Data
03M402,3,The Urban Assembly School for Green Careers,false,M470,false,304,0,0,304,0.02,0.28,0.592,0.026,0.082,0.23,0.151,0.852,No Data,No Data,No Data,No Data,No Data,No Data,85,78.8%,85,67.1%
03M403,3,The Global Learning Collaborative,false,M470,false,414,0,0,414,0.019,0.261,0.655,0.014,0.051,0.203,0.123,0.816,No Data,No Data,No Data,No Data,No Data,No Data,106,80.2%,96,87.5%
03M404,3,Innovation Diploma Plus,false,M470,true,184,0,0,184,0.011,0.38,0.587,0,0.022,0.141,0.054,0.81,No Data,No Data,No Data,No Data,No Data,No Data,102,23.5%,82,58.5%
03M415,3,Wadleigh Secondary School for the Performing & Visual Arts,false,M088,false,313,0,86,227,0.006,0.527,0.409,0.038,0.019,0.224,0.029,0.796,68,25,36.8%,50,13,26.0%,44,81.8%,86,75.6%
03M417,3,Frank Mccourt High School,false,M470,false,413,0,0,413,0.046,0.136,0.462,0.058,0.298,0.208,0.029,0.53,No Data,No Data,No Data,No Data,No Data,No Data,94,93.6%,76,97.4%
03M421,3,West Prep Academy,false,M145,false,204,0,204,0,0.005,0.525,0.436,0.015,0.02,0.328,0.098,0.848,176,69,39.2%,124,31,25.0%,No Data,No Data,No Data,No Data
03M479,3,Beacon High School,false,M912,false,1423,0,0,1423,0.09,0.142,0.197,0.103,0.468,0.118,0.001,0.361,No Data,No Data,No Data,No Data,No Data,No Data,319,98.1%,363,99.4%
03M492,3,"High School for Law, Advocacy and Community Justice",false,M490,false,429,0,0,429,0.047,0.331,0.576,0.021,0.026,0.168,0.065,0.897,No Data,No Data,No Data,No Data,No Data,No Data,117,77.8%,102,87.3%
03M494,3,High School of Arts and Technology,false,M490,false,492,0,0,492,0.063,0.317,0.555,0.028,0.037,0.252,0.087,0.848,No Data,No Data,No Data,No Data,No Data,No Data,121,57.0%,128,71.1%
03M541,3,Manhattan / Hunter Science High School,false,M490,false,441,0,0,441,0.272,0.163,0.306,0.05,0.209,0.138,0,0.59,No Data,No Data,No Data,No Data,No Data,No Data,113,96.5%,96,100.0%
03M859,3,Special Music School,true,"M490, M932",false,314,88,45,181,0.137,0.099,0.14,0.156,0.468,0.124,0.003,0.22,81,79,97.5%,68,67,98.5%,45,97.8%,No Data,No Data
03M860,3,Frederick Douglass Academy II Secondary School,false,M088,false,362,0,72,290,0.022,0.616,0.32,0.022,0.019,0.254,0.102,0.823,55,15,27.3%,36,6,16.7%,74,78.4%,53,77.4%
03M862,3,Mott Hall II,false,M165,false,428,0,428,0,0.028,0.257,0.498,0.056,0.161,0.241,0.037,0.645,388,226,58.2%,261,116,44.4%,No Data,No Data,No Data,No Data
04M012,4,Tag Young Scholars,false,M117,false,601,372,229,0,0.413,0.165,0.15,0.101,0.171,0.048,0.008,0.341,399,379,95.0%,316,307,97.2%,No Data,No Data,No Data,No Data
04M037,4,River East Elementary,false,M045,false,259,259,0,0,0,0.39,0.529,0.031,0.05,0.274,0.05,0.842,99,36,36.4%,98,21,21.4%,No Data,No Data,No Data,No Data
