SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2018-19,Transfer Students,Total,"Transfers In, Total",15526,0.01%,0.09%,0.19%,0.01%,0.01%,0.00%,67.88%,70.22%,71.02%,0.62%,16.38%,0.04%,11.74%
CUNY,2008-09,Transfer Students,Total,"Transfers In, Total",7112,0.00%,0.03%,0.15%,0.07%,0.04%,0.06%,46.43%,51.70%,54.46%,3.53%,19.97%,0.00%,21.72%
CUNY,2009-10,Transfer Students,Total,"Transfers In, Total",7290,0.01%,0.08%,0.16%,0.04%,0.00%,0.00%,48.11%,53.84%,56.20%,3.40%,19.36%,0.00%,20.82%
CUNY,2010-11,Transfer Students,Total,"Transfers In, Total",7223,0.01%,0.04%,0.08%,0.03%,0.00%,0.00%,48.59%,53.68%,56.44%,3.21%,20.19%,0.00%,20.03%
CUNY,2011-12,Transfer Students,Total,"Transfers In, Total",8089,0.04%,0.15%,0.21%,0.07%,0.06%,0.02%,49.27%,55.02%,57.58%,3.37%,19.40%,0.32%,19.10%
CUNY,2012-13,Transfer Students,Total,"Transfers In, Total",8435,0.06%,0.17%,0.30%,0.09%,0.09%,0.04%,49.90%,55.39%,57.96%,3.19%,19.00%,0.00%,19.26%
CUNY,2013-14,Transfer Students,Total,"Transfers In, Total",9088,0.01%,0.12%,0.36%,0.09%,0.10%,0.06%,51.24%,56.89%,59.25%,3.21%,18.27%,0.00%,18.65%
CUNY,2014-15,Transfer Students,Total,"Transfers In, Total",9936,0.02%,0.06%,0.22%,0.10%,0.04%,0.03%,49.89%,55.81%,58.20%,2.68%,18.22%,0.00%,20.49%
CUNY,2015-16,Transfer Students,Total,"Transfers In, Total",9172,0.00%,0.10%,0.25%,0.13%,0.12%,0.04%,51.10%,56.55%,58.67%,2.34%,8.97%,0.00%,29.47%
CUNY,2016-17,Transfer Students,Total,"Transfers In, Total",10699,0.01%,0.15%,0.30%,0.06%,0.08%,0.04%,50.53%,55.83%,58.14%,2.59%,17.14%,0.00%,21.65%
CUNY,2017-18,Transfer Students,Total,"Transfers In, Total",10527,0.00%,0.13%,0.25%,0.09%,0.09%,0.05%,51.54%,56.57%,58.63%,2.37%,17.41%,0.00%,21.12%
CUNY,2018-19,Transfer Students,Total,"Transfers In, Total",10539,0.01%,0.08%,0.12%,0.10%,0.00%,0.02%,54.25%,58.65%,60.58%,2.25%,17.41%,0.00%,19.51%
INDEPENDENT,2008-09,Transfer Students,Total,"Transfers In, Total",13808,0.06%,0.97%,1.15%,0.07%,0.01%,0.01%,66.05%,69.44%,70.72%,1.12%,1.51%,0.04%,25.33%
INDEPENDENT,2009-10,Transfer Students,Total,"Transfers In, Total",14827,0.03%,1.94%,2.26%,0.06%,0.02%,0.00%,62.61%,65.81%,67.53%,0.98%,2.76%,0.04%,25.89%
INDEPENDENT,2010-11,Transfer Students,Total,"Transfers In, Total",14024,0.01%,0.17%,0.25%,0.04%,0.00%,0.00%,65.19%,68.77%,69.86%,0.98%,4.36%,0.06%,24.47%
INDEPENDENT,2011-12,Transfer Students,Total,"Transfers In, Total",14344,0.01%,0.15%,0.24%,0.15%,0.01%,0.01%,66.98%,70.43%,71.36%,1.07%,4.24%,0.08%,22.90%
INDEPENDENT,2012-13,Transfer Students,Total,"Transfers In, Total",14013,0.26%,2.13%,2.32%,0.25%,0.04%,0.01%,64.33%,67.94%,69.26%,0.69%,2.63%,0.02%,24.61%
INDEPENDENT,2013-14,Transfer Students,Total,"Transfers In, Total",12170,0.20%,0.56%,1.13%,0.05%,0.00%,0.01%,64.74%,67.74%,68.66%,0.81%,3.11%,0.04%,24.82%
INDEPENDENT,2014-15,Transfer Students,Total,"Transfers In, Total",13763,0.27%,0.37%,0.53%,0.01%,0.02%,0.01%,64.26%,68.02%,69.19%,1.10%,4.39%,0.09%,24.45%
INDEPENDENT,2015-16,Transfer Students,Total,"Transfers In, Total",13806,0.37%,2.19%,2.39%,0.14%,0.02%,0.01%,61.48%,64.43%,65.40%,0.70%,8.04%,0.09%,22.90%
INDEPENDENT,2016-17,Transfer Students,Total,"Transfers In, Total",14483,0.48%,1.83%,2.07%,0.39%,0.10%,0.10%,63.32%,66.29%,67.22%,0.57%,8.20%,0.12%,20.67%
INDEPENDENT,2017-18,Transfer Students,Total,"Transfers In, Total",13607,0.49%,2.23%,2.56%,0.15%,0.05%,0.01%,64.26%,67.33%,68.49%,1.01%,8.94%,0.10%,18.27%
INDEPENDENT,2018-19,Transfer Students,Total,"Transfers In, Total",11657,0.49%,2.18%,2.39%,0.06%,0.03%,0.03%,67.35%,70.41%,71.30%,0.51%,8.44%,0.24%,16.69%
PROPRIETARY,2008-09,Transfer Students,Total,"Transfers In, Total",738,0.00%,0.27%,0.41%,0.14%,0.00%,0.14%,61.52%,62.60%,63.01%,0.54%,2.30%,0.00%,33.47%
PROPRIETARY,2009-10,Transfer Students,Total,"Transfers In, Total",738,0.00%,0.27%,0.54%,0.00%,0.00%,0.14%,58.13%,62.20%,63.28%,1.90%,0.00%,0.00%,34.15%
PROPRIETARY,2010-11,Transfer Students,Total,"Transfers In, Total",825,0.00%,1.45%,2.18%,1.09%,0.24%,0.00%,51.27%,53.58%,55.27%,1.45%,1.45%,0.00%,38.30%
PROPRIETARY,2011-12,Transfer Students,Total,"Transfers In, Total",1127,0.27%,0.53%,1.51%,0.09%,0.00%,0.00%,57.12%,58.81%,59.16%,0.27%,1.86%,0.27%,36.73%
PROPRIETARY,2012-13,Transfer Students,Total,"Transfers In, Total",1306,0.15%,0.46%,0.92%,0.00%,0.00%,0.00%,60.11%,63.02%,63.94%,0.69%,3.14%,0.00%,31.16%
PROPRIETARY,2013-14,Transfer Students,Total,"Transfers In, Total",1487,0.00%,0.54%,0.67%,0.00%,0.07%,0.00%,50.37%,53.53%,54.20%,0.94%,2.42%,0.00%,41.69%
PROPRIETARY,2014-15,Transfer Students,Total,"Transfers In, Total",1704,0.00%,0.70%,1.12%,0.47%,0.06%,0.00%,55.61%,58.25%,59.07%,0.41%,4.34%,0.06%,34.51%
PROPRIETARY,2015-16,Transfer Students,Total,"Transfers In, Total",1728,0.00%,0.75%,1.10%,0.12%,0.00%,0.17%,52.00%,54.31%,55.07%,0.64%,5.27%,0.06%,37.62%
PROPRIETARY,2016-17,Transfer Students,Total,"Transfers In, Total",1429,0.00%,0.56%,1.12%,0.14%,0.14%,0.00%,56.30%,58.89%,59.87%,0.56%,4.69%,0.07%,33.45%
PROPRIETARY,2017-18,Transfer Students,Total,"Transfers In, Total",1064,0.00%,0.47%,0.75%,0.28%,0.09%,0.09%,56.91%,59.74%,60.21%,0.66%,7.52%,0.09%,30.36%
PROPRIETARY,2018-19,Transfer Students,Total,"Transfers In, Total",1289,0.00%,0.47%,0.62%,0.23%,0.16%,0.08%,54.78%,56.72%,57.73%,0.70%,14.58%,0.16%,25.83%
