Agency Code,Agency,Agency Name,Unit of Appropriation,Unit of Appropriation Name,PS_OTPS_Ind,"Expenditures_ FY18
($000,000)","Modified Budget for FY19, as of June, 2019 ($000,000)",Applicable_MMR_Goals,Notes
40,DOE,DEPARTMENT OF EDUCATION,436,SCHOOL FACILITIES - OTPS,Other Than Personal Services,"1,070.10","1,015.20","1a, 2b, 4a",
40,DOE,DEPARTMENT OF EDUCATION,438,PUPIL TRANSPORTATION - OTPS,Other Than Personal Services,"1,206.60","1,301.00","1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,440,SCHOOL FOOD SERVICES - OTPS,Other Than Personal Services,265.7,313.3,"1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,442,SCHOOL SAFETY - OTPS,Other Than Personal Services,378.1,403.9,"1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,444,ENERGY AND LEASES - OTPS,Other Than Personal Services,517.7,551.6,All,
40,DOE,DEPARTMENT OF EDUCATION,454,CENTRAL ADMINISTRATION - OTPS,Other Than Personal Services,175.4,158.3,All,
40,DOE,DEPARTMENT OF EDUCATION,470,SE PRE-K CONTRACT PMTS - OTPS,Other Than Personal Services,743.7,839,"1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,472,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,Other Than Personal Services,859,935.6,All,
40,DOE,DEPARTMENT OF EDUCATION,474,NPS & FIT PMTS - OTPS,Other Than Personal Services,77.4,79,All,
40,DOE,DEPARTMENT OF EDUCATION,482,CATEGORICAL PROGRAMS - OTPS,Other Than Personal Services,743,716,All,
42,CUNY,CITY UNIVERSITY OF NEW YORK,2,COMMUNITY COLLEGE PS,Personal Services,789.5,809.8,NA,"These figures are limited to the City’s contribution and planned contribution respectively, to CUNY."
42,CUNY,CITY UNIVERSITY OF NEW YORK,4,HUNTER SCHOOLS-PS,Personal Services,19.5,17.7,NA,"These figures are limited to the City’s contribution and planned contribution respectively, to CUNY."
42,CUNY,CITY UNIVERSITY OF NEW YORK,1,COMMUNITY COLLEGE-OTPS,Other Than Personal Services,389.1,443.3,NA,"These figures are limited to the City’s contribution and planned contribution respectively, to CUNY."
42,CUNY,CITY UNIVERSITY OF NEW YORK,3,HUNTER SCHOOLS-OTPS,Other Than Personal Services,1,1.4,NA,"These figures are limited to the City’s contribution and planned contribution respectively, to CUNY."
42,CUNY,CITY UNIVERSITY OF NEW YORK,12,SENIOR COLLEGE OTPS,Other Than Personal Services,0,35,NA,"These figures are limited to the City’s contribution and planned contribution respectively, to CUNY."
54,CCRB,CIVILIAN COMPLAINT REVIEW BOARD,1,CCRB-PS,Personal Services,13.1,14.8,All,
54,CCRB,CIVILIAN COMPLAINT REVIEW BOARD,2,CCRB-OTPS,Other Than Personal Services,3.3,4,All,
56,NYPD,POLICE DEPARTMENT,1,OPERATIONS,Personal Services,"3,445.80","3,469.70",All,
56,NYPD,POLICE DEPARTMENT,2,EXECUTIVE MANAGEMENT,Personal Services,504.8,510.3,All,
56,NYPD,POLICE DEPARTMENT,3,SCHOOL SAFETY- P.S.,Personal Services,300.6,310.8,"1a, 1b, 1c, 4a",
56,NYPD,POLICE DEPARTMENT,4,ADMINISTRATION-PERSONNEL,Personal Services,265.4,271.8,All,
56,NYPD,POLICE DEPARTMENT,6,CRIMINAL JUSTICE,Personal Services,58.9,62,"1a, 1c, 2a, 3a, 4a",
56,NYPD,POLICE DEPARTMENT,7,TRAFFIC ENFORCEMENT,Personal Services,163.7,155.7,"1a, 2a, 3a, 4a",
56,NYPD,POLICE DEPARTMENT,8,TRANSIT POLICE-PS,Personal Services,241.6,245.3,"1a, 1b, 1c, 3a, 4a",
56,NYPD,POLICE DEPARTMENT,9,HOUSING POLICE-PS,Personal Services,207.3,211.7,"1a, 1c, 3a, 4a",
56,NYPD,POLICE DEPARTMENT,100,OPERATIONS-OTPS,Other Than Personal Services,102.8,147.5,All,
56,NYPD,POLICE DEPARTMENT,200,EXECUTIVE MANAGEMENT-OTPS,Other Than Personal Services,86.4,200.9,All,
56,NYPD,POLICE DEPARTMENT,300,SCHOOL SAFETY- OTPS,Other Than Personal Services,4.9,4.9,"1a, 1b, 1c, 4a",
56,NYPD,POLICE DEPARTMENT,400,ADMINISTRATION-OTPS,Other Than Personal Services,396.5,391.7,All,
56,NYPD,POLICE DEPARTMENT,600,CRIMINAL JUSTICE-OTPS,Other Than Personal Services,0.5,0.6,"1a, 1c, 2a, 3a, 4a",
56,NYPD,POLICE DEPARTMENT,700,TRAFFIC ENFORCEMENT-OTPS,Other Than Personal Services,9.3,13.3,"1a, 2a, 3a, 4a",
57,FDNY,FIRE DEPARTMENT,1,EXECUTIVE ADMINISTRATIVE,Personal Services,107.5,125.1,All,
57,FDNY,FIRE DEPARTMENT,2,FIRE EXTING AND EMERG RESP,Personal Services,"1,367.20","1,364.20",All,
57,FDNY,FIRE DEPARTMENT,3,FIRE INVESTIGATION,Personal Services,23.2,25.9,1a,
57,FDNY,FIRE DEPARTMENT,4,FIRE PREVENTION,Personal Services,44.6,46.6,"1a, 1c",
57,FDNY,FIRE DEPARTMENT,9,EMERGENCY MEDICAL SERVICES-PS,Personal Services,303.4,293.7,2a,
57,FDNY,FIRE DEPARTMENT,5,EXECUTIVE ADMIN-OTPS,Other Than Personal Services,173.9,219.9,All,
57,FDNY,FIRE DEPARTMENT,6,FIRE EXTING & RESP-OTPS,Other Than Personal Services,36.8,29.7,All,
57,FDNY,FIRE DEPARTMENT,7,FIRE INVESTIGATION-OTPS,Other Than Personal Services,0.2,0.2,1a,
57,FDNY,FIRE DEPARTMENT,8,FIRE PREVENTION-OTPS,Other Than Personal Services,0.9,2.9,"1a, 1c",
57,FDNY,FIRE DEPARTMENT,10,EMERGENCY MEDICAL SERV-OTPS,Other Than Personal Services,33.9,33.7,2a,
63,DVS,DEPARTMENT OF VETERANS' SERVICES,1,PERSONAL SERVICES,Personal Services,2.9,4,All,
63,DVS,DEPARTMENT OF VETERANS' SERVICES,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,0.6,1.4,All,
68,ACS,ADMIN FOR CHILDREN'S SERVICES,1,CHILD WELFARE,Personal Services,349.8,371.1,"1a, 1b, 1c, 1d, 1e, 2a",
68,ACS,ADMIN FOR CHILDREN'S SERVICES,3,HEADSTART and DAYCARE-PS,Personal Services,18.7,19.1,2a,
68,ACS,ADMIN FOR CHILDREN'S SERVICES,5,ADMINISTRATIVE-PS,Personal Services,97.3,102.3,All,
68,ACS,ADMIN FOR CHILDREN'S SERVICES,7,JUVENILE JUSTICE - PS,Personal Services,34.2,52.2,"3a, 3b, 3c",
68,ACS,ADMIN FOR CHILDREN'S SERVICES,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,85.4,97,All,
68,ACS,ADMIN FOR CHILDREN'S SERVICES,4,HEADSTART/DAYCARE-OTPS,Other Than Personal Services,"1,038.30","1,142.60",2a,
68,ACS,ADMIN FOR CHILDREN'S SERVICES,6,CHILD WELFARE-OTPS,Other Than Personal Services,"1,220.60","1,337.20","1a, 1b, 1c, 1d, 1e",
68,ACS,ADMIN FOR CHILDREN'S SERVICES,8,JUVENILE JUSTICE - OTPS,Other Than Personal Services,132.4,175.9,"3a, 3b, 3c",
69,HRA,HUMAN RESOURCES ADMINISTRATION,201,ADMINISTRATION,Personal Services,335.3,334.3,All,
69,HRA,HUMAN RESOURCES ADMINISTRATION,203,PUBLIC ASSISTANCE,Personal Services,283.3,300.6,"1a, 1b, 2a, 2b, 2c, 3a",
69,HRA,HUMAN RESOURCES ADMINISTRATION,204,MEDICAL ASSISTANCE,Personal Services,72.2,103.4,"1c, 2b, 4a",
69,HRA,HUMAN RESOURCES ADMINISTRATION,205,ADULT SERVICES,Personal Services,113.7,127.4,"1c, 2a, 2b, 2c, 3a, 3b, 4a",
69,HRA,HUMAN RESOURCES ADMINISTRATION,101,ADMINISTRATION-OTPS,Other Than Personal Services,289.3,326.8,All,
69,HRA,HUMAN RESOURCES ADMINISTRATION,103,PUBLIC ASSISTANCE - OTPS,Other Than Personal Services,"2,345.50","2,483.40","1a, 1b, 2a, 2b, 2c, 3a",
69,HRA,HUMAN RESOURCES ADMINISTRATION,104,MEDICAL ASSISTANCE - OTPS,Other Than Personal Services,"5,959.60","5,949.30","1c, 2b, 4a",
69,HRA,HUMAN RESOURCES ADMINISTRATION,105,ADULT SERVICES - OTPS,Other Than Personal Services,384.4,417.7,"1c, 2a, 2b, 2c, 3a, 3b, 4a",
69,HRA,HUMAN RESOURCES ADMINISTRATION,107,LEGAL SERVICES,Other Than Personal Services,120.6,157.7,All,
71,DHS,DEPARTMENT OF HOMELESS SERVICES,100,DEPT OF HOMELESS SERVICES-PS,Personal Services,153.6,163.3,All,
71,DHS,DEPARTMENT OF HOMELESS SERVICES,200,DEPT OF HOMELESS SERVICES-OTPS,Other Than Personal Services,"1,992.40","1,978.50",All,
72,DOC,DEPARTMENT OF CORRECTION,1,ADMINISTRATION,Personal Services,104.7,114.7,All,
72,DOC,DEPARTMENT OF CORRECTION,2,OPERATIONS,Personal Services,"1,099.60","1,071.10",All,
72,DOC,DEPARTMENT OF CORRECTION,3,OPERATIONS - OTPS,Other Than Personal Services,178,178.6,All,
72,DOC,DEPARTMENT OF CORRECTION,4,ADMINISTRATION - OTPS,Other Than Personal Services,17.9,16.3,All,
125,DFTA,DEPARTMENT FOR THE AGING,1,EXECUTIVE & ADMIN MGMT - PS,Personal Services,13.6,15,All,
125,DFTA,DEPARTMENT FOR THE AGING,2,COMMUNITY PROGRAMS - PS,Personal Services,14.7,16.3,All,
125,DFTA,DEPARTMENT FOR THE AGING,3,COMMUNITY PROGRAMS - OTPS,Other Than Personal Services,335.9,366.3,All,
125,DFTA,DEPARTMENT FOR THE AGING,4,EXECUTIVE & ADMIN MGMT-OTPS,Other Than Personal Services,1.9,1.9,All,
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,1,OFFICE OF COMMISSIONER-PS,Personal Services,4.7,5,All,
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,2,OFFICE OF COMMISSIONER - OTPS,Other Than Personal Services,1.8,1.9,All,
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,3,CULTURAL PROGRAMS,Other Than Personal Services,65.9,72.4,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,4,METROPOLITAN MUSEUM OF ART,Other Than Personal Services,25.8,26.6,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,5,NY BOTANICAL GARDEN,Other Than Personal Services,7.6,7.8,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,6,AMER MUSEUM NATURAL HISTORY,Other Than Personal Services,16,17.5,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,7,THE WILDLIFE CONSERVATION SOC.,Other Than Personal Services,14.9,15.7,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,8,BROOKLYN MUSEUM,Other Than Personal Services,8.6,8.5,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,9,BKLYN CHILDREN'S MUSEUM,Other Than Personal Services,2.1,2.3,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,10,BROOKLYN BOTANIC GARDEN,Other Than Personal Services,4.6,4.8,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,11,QUEENS BOTANICAL GARDEN,Other Than Personal Services,4.2,3.5,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,12,NY HALL OF SCIENCE,Other Than Personal Services,2,2.1,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,13,SI INSTITUTE ARTS & SCIENCES,Other Than Personal Services,1,1.2,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,14,S.I. ZOOLOGICAL SOCIETY,Other Than Personal Services,1.6,1.8,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,15,S I HISTORICAL SOCIETY,Other Than Personal Services,0.8,0.9,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,16,MUSEUM OF THE CITY OF NY,Other Than Personal Services,1.7,1.9,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,17,WAVE HILL,Other Than Personal Services,1.4,1.5,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,19,BROOKLYN ACADEMY OF MUSIC,Other Than Personal Services,2.8,2.9,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,20,SNUG HARBOR CULTURAL CENTER,Other Than Personal Services,2.9,3.3,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,21,STUDIO MUSEUM IN HARLEM,Other Than Personal Services,1,1,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,22,OTHER CULTURAL INSTITUTIONS,Other Than Personal Services,20.1,23.3,"1a, 1b",
126,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,24,N.Y.SHAKESPEARE FESTIVAL,Other Than Personal Services,1.1,1.1,"1a, 1b",
136,LPC,LANDMARKS PRESERVATION COMM.,1,PERSONAL SERVICES,Personal Services,5.2,6,All,
136,LPC,LANDMARKS PRESERVATION COMM.,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,0.6,0.8,All,
156,TLC,TAXI AND LIMOUSINE COMMISSION,1,PERSONAL SERVICE,Personal Services,35,37.2,All,
156,TLC,TAXI AND LIMOUSINE COMMISSION,2,OTHER THAN PERSONAL SERVICE,Other Than Personal Services,10.8,12.1,All,
226,CCHR,COMMISSION ON HUMAN RIGHTS,1,PERSONAL SERVICES,Personal Services,3.3,5.7,All,
226,CCHR,COMMISSION ON HUMAN RIGHTS,3,COMMUNITY DEVELOP P.S.,Personal Services,6.2,5.1,All,
226,CCHR,COMMISSION ON HUMAN RIGHTS,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,1.6,0.5,All,
226,CCHR,COMMISSION ON HUMAN RIGHTS,4,COMM DEVELOP OTPS,Other Than Personal Services,1.7,2.3,All,
260,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEVELOPMENT,2,EXECUTIVE AND ADMINISTRATIVE MGMT PS,Personal Services,18.7,19.4,All,
260,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEVELOPMENT,311,PROGRAM SERVICES - PS,Personal Services,22.4,22.3,All,
260,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEVELOPMENT,5,COMMUNITY DEVELOPMENT OTPS,Other Than Personal Services,72.7,85.3,"3a, 3b, 3c",
260,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEVELOPMENT,312,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,695.6,780.3,All,
781,DOP,DEPARTMENT OF PROBATION,1,EXECUTIVE MANAGEMENT,Personal Services,9.1,10,All,
781,DOP,DEPARTMENT OF PROBATION,2,PROBATION SERVICES,Personal Services,60.1,75.9,All,
781,DOP,DEPARTMENT OF PROBATION,3,PROBATION SERVICES-OTPS,Other Than Personal Services,33.8,38.7,All,
781,DOP,DEPARTMENT OF PROBATION,4,EXECUTIVE MANAGEMENT - OTPS,Other Than Personal Services,0.1,0.1,All,
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,1,DEPT. OF BUSINESS P.S.,Personal Services,15.9,17.2,All,
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,4,CONTRACT COMP & BUS. OPP - PS,Personal Services,2.8,3.2,"1a, 1b, 2a, 4a",
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,10,WORKFORCE INVESTMENT ACT - PS,Personal Services,4.8,6,"1a, 4a",
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,2,DEPT. OF BUSINESS O.T.P.S.,Other Than Personal Services,77.7,73,All,
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,5,CONTRACT COMP & BUS OPP - OTPS,Other Than Personal Services,4.7,5.1,"1a, 1b, 2a, 4a",
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,6,ECONOMIC DEVELOPMENT CORP.,Other Than Personal Services,62.6,80.3,All. Refer to EDC goals.,"EDC is contained within the Department of Small Business Services and appropriations are made through that agency. These figures are limited to the City's contribution and planned contribution respectively, to EDC"
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,11,WORKFORCE INVESTMENT ACT - OTPS,Other Than Personal Services,58.7,67.8,"1a, 4a",
801,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,12,TRUST FOR GOVERNOR'S ISLAND AND NYC & CO,Other Than Personal Services,39.7,40.3,1b,
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,1,OFFICE OF ADMINISTRATION,Personal Services,40.6,44.1,All,
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,2,OFFICE OF DEVELOPMENT,Personal Services,27.7,32.6,"2a, 3a, 4a, 4b",
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,4,OFFICE OF HOUSING PRESERVATION,Personal Services,58.5,62.8,"1a, 1b",
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,6,HOUSING MAINTENANCE AND SALES,Personal Services,37.4,40.1,"2a, 3a, 4a, 4b",
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,8,OFFICE OF ADMINISTRATION OTPS,Other Than Personal Services,9.6,12.8,All,
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,9,OFFICE OF DEVELOPMENT OTPS,Other Than Personal Services,759.6,733.1,"1b, 2a, 4a, 4b",
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,10,HOUSING MANAGEMENT AND SALES,Other Than Personal Services,9.3,18.9,"1a, 1b, 2a, 3a, 4b",
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,11,OFFICE OF HOUSING PRESERVATION,Other Than Personal Services,58.1,93.9,"1a, 1b, 2a, 4b",
806,HPD,HOUSING PRESERVATION AND DEVELOPMENT,12,CITY ASSISTANCE TO NYC HOUSING,Other Than Personal Services,NA,326.4,All,This UA originated in Fiscal 2019.
810,DOB,DEPARTMENT OF BUILDINGS,1,PERSONAL SERVICES,Personal Services,123.6,142.8,All,
810,DOB,DEPARTMENT OF BUILDINGS,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,36.1,42.8,All,
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,101,HEALTH ADMINISTRATION - PS,Personal Services,62.3,64.2,All,
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,102,DISEASE CONTROL - PS,Personal Services,98.6,100,"1a, 1b",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,103,FAMILY & CHILD HLTH AND HLTH EQUITY - PS,Personal Services,126.6,126.1,"1b, 2b",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,104,ENVIRONMENTAL HEALTH - PS,Personal Services,64.1,66.4,"2b, 3a, 3b, 3c",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,105,EARLY INTERVENTION - PS,Personal Services,15.5,16.5,4b,
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS,Personal Services,55.6,66,All. Refer to OCME goals.,OCME is contained within the Department of Health and Mental Hygiene and appropriations are made through that agency.
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,107,PREVENTION & PRIMARY CARE - PS,Personal Services,15.7,16.9,"2a, 2b",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,108,MENTAL HYGIENE MANAGEMENT SERVICES - PS,Personal Services,38.5,46.2,"4a, 4b",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,109,EPIDEMIOLOGY - PS,Personal Services,17.4,18,"2a, 2b, 5a",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,111,HEALTH ADMINISTRATION - OTPS,Other Than Personal Services,137.4,140.2,All,
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,112,DISEASE CONTROL - OTPS,Other Than Personal Services,192.4,217.1,"1a, 1b",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,113,FAMILY & CHILD HLTH AND HLTH EQUITY-OTPS,Other Than Personal Services,67.3,72.6,"1b, 2b",
816,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,114,ENVIRONMENTAL HEALTH - OTPS,Other Than Personal Services,32.4,39.4,"2b, 3a, 3b, 3c",
