ADMISSION_YEAR,COUNTY_CODE,COUNTY_NAME,SECTOR_CODE,SECTOR,SCHOOL_TYPE_CODE,SCHOOL_TYPE,SCHOOL_LEVEL_CODE,SCHOOL_LEVEL,SEDCODE,INST_ID,LEGAL_NAME,PROGRAM_TYPE,ADMISSION_STATUS,Asian,American Indian/Alaskan Native,Black/African American,Hispanic (any race),Native Hawaiian/Pacific Islander,Non-Hispanic 2 or More Races,Unknown,Nonresident Alien,White
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,249,3,312,417,2,81,34,166,1282
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,2637,46,4374,4979,24,540,573,1169,7943
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,1828,15,1397,2035,11,316,348,501,6155
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,244,5,389,454,3,59,54,103,1277
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,2802,40,5108,5669,21,671,663,969,7851
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,1861,14,1527,2204,8,372,371,518,6065
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,240,6,470,516,4,89,60,102,1234
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,2692,38,5753,6228,18,763,642,998,7752
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,1841,13,1737,2465,9,411,343,589,6031
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,262,4,560,540,3,91,47,120,1184
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,3185,49,6607,7215,27,863,728,899,8104
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,2229,14,1904,2686,7,507,286,579,6202
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,245,3,517,543,2,109,51,104,1191
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,1,0,3,1,0,0,8,1,12
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,1,0,2,1,0,0,8,1,11
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,1,0,0,0,0,0,8,1,9
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,1800,50,2267,3373,17,397,692,869,4353
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,1517,29,1346,2450,9,293,508,409,3751
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,136,5,94,208,1,42,61,71,495
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,5093,51,3205,1951,27,764,2048,2629,13251
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,2135,12,574,426,1,321,841,1411,6365
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,437,3,108,251,0,56,69,251,1410
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,5463,32,3031,1685,30,800,13665,2436,1302
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,2459,13,597,441,8,381,6822,1319,450
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,410,0,113,280,3,71,1407,222,22
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,4851,52,3166,1611,41,804,1694,4010,14384
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,2243,11,569,398,11,344,532,1732,7167
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,409,1,115,280,1,58,28,207,1495
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,5429,32,3333,4795,32,783,1461,2283,13970
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,2141,10,588,1297,6,334,565,1399,6695
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,337,4,128,298,0,51,38,197,1588
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
