"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","AFG","Afghanistan","2018","2018",0.53727,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","STP","Sao Tome and Principe","2018","2018",58.38964,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2013","2013",55.59499,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2014","2014",56.97715,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2017","2017",59.13205,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ZWE","Zimbabwe","2014","2014",88.28383,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2013","2013",88.72421,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2014","2014",89.14118,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2015","2015",89.52524,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2016","2016",89.85769,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2017","2017",90.11885,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2018","2018",90.395,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","LBR","Liberia","2017","2017",0.7026,"‡","UIS Estimation"
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","BOL","Bolivia (Plurinational State of)","2015","2015",0.65407,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","SLE","Sierra Leone","2013","2013",7.13478,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","SLE","Sierra Leone","2018","2018",9.71417,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2013","2013",85.66837,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2014","2014",87.39595,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2015","2015",87.92208,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2016","2016",89.04894,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2018","2018",87.13764,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","PHL","Philippines","2013","2013",1.00811,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","PHL","Philippines","2015","2015",1.00121,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","AGO","Angola","2014","2014",79.97415,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2013","2013",82.72068,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2014","2014",86.75616,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2013","2013",91.48424,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2014","2014",91.72943,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2015","2015",92.0479,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2016","2016",92.80844,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2017","2017",93.07582,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2018","2018",93.2275,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","CAF","Central African Republic","2018","2018",25.75638,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2013","2013",98.07913,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2014","2014",98.09372,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2015","2015",98.14326,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2016","2016",98.25051,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2018","2018",98.4365,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MKD","North Macedonia","2014","2014",98.81,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","COM","Comoros","2018","2018",52.95639,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TKM","Turkmenistan","2014","2014",99.8,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MLI","Mali","2015","2015",13.60144,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MLI","Mali","2018","2018",19.082,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","DZA","Algeria","2018","2018",81.40784,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2013","2013",99.5242,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2014","2014",99.55187,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2015","2015",99.58244,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2016","2016",99.64594,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2017","2017",99.6513,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2018","2018",99.67179,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2013","2013",92.30038,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2014","2014",92.98989,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2015","2015",93.24178,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2016","2016",93.41341,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2017","2017",93.71661,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2018","2018",93.93387,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2013","2013",76.24995,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2014","2014",77.55537,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2015","2015",77.03146,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2016","2016",78.88511,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2017","2017",79.39136,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2018","2018",80.66542,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2018","2018",92.71206,"‡","UIS Estimation"
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2014","2014",79.60458,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2015","2015",79.89859,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2016","2016",81.4384,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2018","2018",83.21377,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2013","2013",98.27241,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2014","2014",98.32635,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2015","2015",98.30148,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2016","2016",98.34075,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2017","2017",98.29408,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2018","2018",98.28482,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","MLT","Malta","2018","2018",94.50319,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BWA","Botswana","2013","2013",39.61629,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BWA","Botswana","2014","2014",40.7,"‡","UIS Estimation"
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","ITA","Italy","2018","2018",0.99616,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2013","2013",33.5966,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2017","2017",39.79856,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","GLP","Guadeloupe","2014","2014",1.03771,"‡","UIS Estimation"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","RUS","Russian Federation","2018","2018",1.00099,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","LSO","Lesotho","2014","2014",76.6352,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BHR","Bahrain","2016","2016",98.85029,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BHR","Bahrain","2017","2017",99.08393,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BHR","Bahrain","2018","2018",99.30134,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","EGY","Egypt","2013","2013",92.02342,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","EGY","Egypt","2017","2017",88.19256,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2015","2015",38.9182,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2016","2016",31.32879,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","ALB","Albania","2018","2018",1.00586,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","CRI","Costa Rica","2018","2018",93.42463,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2014","2014",96.94898,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2015","2015",97.10638,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2016","2016",97.18846,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2017","2017",97.03974,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2018","2018",97.12137,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2013","2013",95.25126,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2015","2015",94.65912,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","MYS","Malaysia","2016","2016",0.56843,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2013","2013",99.15375,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2015","2015",99.25909,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2017","2017",99.24358,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2018","2018",99.08013,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2013","2013",98.92976,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2014","2014",98.83889,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2015","2015",98.9276,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2016","2016",99.15247,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2017","2017",98.9326,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2018","2018",98.88027,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","TJK","Tajikistan","2014","2014",97.1,"‡","UIS Estimation"
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","TON","Tonga","2018","2018",99.25792,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2013","2013",91.80852,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2014","2014",92.1399,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2015","2015",92.46387,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2016","2016",92.72766,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2017","2017",92.88392,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2018","2018",93.11619,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","COG","Congo","2018","2018",86.07651,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","QAT","Qatar","2013","2013",80.05801,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","QAT","Qatar","2014","2014",71.44323,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","QAT","Qatar","2016","2016",80.26538,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","QAT","Qatar","2017","2017",79.47218,"‡","UIS Estimation"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","KEN","Kenya","2014","2014",0.99077,"‡","UIS Estimation"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","KEN","Kenya","2018","2018",1.00559,"‡","UIS Estimation"
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2013","2013",22.46233,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2014","2014",22.445,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2016","2016",24.88208,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","MDG","Madagascar","2018","2018",0.93671,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MTQ","Martinique","2014","2014",99.7,"‡","UIS Estimation"
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","NGA","Nigeria","2018","2018",17.63388,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","NPL","Nepal","2018","2018",94.03428,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2013","2013",99.78936,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2014","2014",99.78899,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2015","2015",99.78806,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2016","2016",99.79006,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2017","2017",99.79123,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRI","Puerto Rico","2017","2017",92.38983,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2014","2014",94.99074,"+","National Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2015","2015",96.63287,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2016","2016",96.63083,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2017","2017",97.02387,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2018","2018",96.98942,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TZA","United Republic of Tanzania","2015","2015",85.75514,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2013","2013",93.35957,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2014","2014",93.54057,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2015","2015",93.71157,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2016","2016",93.86762,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2017","2017",93.97155,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2018","2018",94.10633,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BDI","Burundi","2014","2014",24.93363,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BDI","Burundi","2017","2017",30.78671,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","MDV","Maldives","2014","2014",1.00174,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","MDV","Maldives","2016","2016",1.00838,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LAO","Lao People's Democratic Republic","2015","2015",94.40438,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2014","2014",50.7019,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2018","2018",53.65694,"‡","UIS Estimation"
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","SAU","Saudi Arabia","2013","2013",36.59812,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","SAU","Saudi Arabia","2017","2017",46.31194,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2013","2013",94.46626,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2014","2014",94.2148,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2015","2015",94.87442,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2016","2016",93.83505,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2018","2018",93.53171,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRT","Portugal","2018","2018",99.66392,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","LKA","Sri Lanka","2016","2016",80.96995,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","LKA","Sri Lanka","2017","2017",80.32131,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","GLP","Guadeloupe","2014","2014",99.82,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2013","2013",83.39698,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2014","2014",83.78881,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2015","2015",84.10912,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2016","2016",82.72351,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2017","2017",83.22563,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2018","2018",83.58958,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2013","2013",88.88686,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2014","2014",89.13508,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2015","2015",89.38705,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2016","2016",89.5976,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2017","2017",89.71087,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2018","2018",89.83821,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2015","2015",96.52275,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","QAT","Qatar","2013","2013",68.3115,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","QAT","Qatar","2014","2014",63.07719,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","QAT","Qatar","2016","2016",71.34527,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","QAT","Qatar","2017","2017",70.4516,"‡","UIS Estimation"
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2013","2013",0.8907,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2014","2014",0.89071,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2016","2016",0.89414,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GTM","Guatemala","2013","2013",89.77037,,
