ADMISSION_YEAR,COUNTY_CODE,COUNTY_NAME,SECTOR_CODE,SECTOR,SCHOOL_TYPE_CODE,SCHOOL_TYPE,SCHOOL_LEVEL_CODE,SCHOOL_LEVEL,SEDCODE,INST_ID,LEGAL_NAME,PROGRAM_TYPE,ADMISSION_STATUS,TOTAL
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,1
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,1
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,1
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,1
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,48
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,48
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,48
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,74
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,74
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,74
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,67
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,67
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,67
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,67
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,67
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,67
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,64
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,64
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,64
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,43
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,43
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,43
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Associate Degree Programs (Part-Time Study),Complete Applications Received,143
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Associate Degree Programs (Part-Time Study),Applicants Accepted,121
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Associate Degree Programs (Part-Time Study),Applicants Enrolled,65
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,7
Fall of 2019,63,WARREN,0,SUNY,0,PUBLIC,0,2-Year,270300,800000036039,ADIRONDACK COMMUNITY COLLEGE,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,6
